Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/06  07:00:00,1050.04665386,96.6115863714,307.338047455,0.0,176.471037341,302.612436532,572.348207292,535.323777567,28.3233498048,8.70107992002
 11/06  08:00:00,1217.22369465,96.9319544007,366.124313957,0.0,243.2593065,310.10971186,523.378779565,454.985106497,42.4850247072,25.9086483605
 11/06  09:00:00,1300.00700911,97.4437052898,413.870089965,0.0,243.2593065,310.10971186,484.364529384,409.748112545,56.6466996096,17.9697172289
 11/06  10:00:00,1357.49635773,98.0853837621,429.934657581,0.0,243.2593065,302.612436532,467.234750781,389.443284956,42.4850247072,35.3064411181
 11/06  11:00:00,1386.16184511,98.6091120118,435.718662339,0.0,243.2593065,310.10971186,471.528416294,365.244200849,70.808374512,35.4758409323
 11/06  12:00:00,1397.88907547,99.0655476048,434.550352933,0.0,243.2593065,310.10971186,452.348319708,346.004539393,70.808374512,35.5354058039
 11/06  13:00:00,1354.86690664,99.5022996264,434.493741289,0.0,243.2593065,310.10971186,429.335238769,331.990114104,70.808374512,26.5367501526
 11/06  14:00:00,1390.19694878,99.8999920658,439.256766743,0.0,243.2593065,302.612436532,409.004689931,316.80294233,56.6466996096,35.555047991
 11/06  15:00:00,1383.33143059,100.520804146,437.985806324,0.0,243.2593065,302.612436532,377.573254707,299.594173289,42.4850247072,35.4940567107
 11/06  16:00:00,1374.18463604,100.932041368,436.614039226,0.0,243.2593065,302.612436532,386.163093996,294.088964521,56.6466996096,35.4274298658
 11/06  17:00:00,1377.52629224,101.080515283,433.931194327,0.0,243.2593065,310.10971186,421.931071348,310.512393984,84.9700494144,26.4486279493
 11/06  18:00:00,1384.02348293,101.403068897,424.078493651,0.0,243.2593065,310.10971186,433.07669147,330.630067108,84.9700494144,17.4765749479
 11/06  19:00:00,1113.36953859,96.3525857472,424.032790873,0.0,166.938926447,199.110933808,431.988780444,329.594004584,84.9700494144,17.4247264462
 11/06  20:00:00,1102.64601762,96.3525857472,422.585840216,0.0,166.938926447,191.61365848,412.76439887,338.692389369,56.6466996096,17.4253098911
 11/06  21:00:00,959.750963911,96.3525857472,413.859211182,0.0,100.150657288,124.558693486,447.669585209,382.301584514,56.6466996096,8.7213010859
 11/06  22:00:00,889.420279084,96.3525857472,382.732110376,0.0,100.150657288,124.558693486,452.868128838,392.99650344,42.4850247072,17.3866006911
 11/06  23:00:00,812.876909287,96.3525857472,376.608835363,0.0,46.0930336215,124.558693486,449.306860049,412.283019552,28.3233498048,8.70049069213
 11/06  24:00:00,833.199533163,96.3525857472,404.653696067,0.0,46.0930336215,124.558693486,447.220868838,415.676547897,14.1616749024,17.3826460383
 11/07  01:00:00,822.986322027,96.3525857472,411.26621996,0.0,46.0930336215,113.312780494,435.547312754,421.182922115,5.66466996096,8.69972067816
 11/07  02:00:00,816.887983624,96.3525857472,393.910417079,0.0,46.0930336215,113.312780494,450.457839387,427.412094535,5.66466996096,17.3810748916
 11/07  03:00:00,797.24029572,96.3525857472,362.941163257,0.0,46.0930336215,113.312780494,447.747437843,433.381382143,5.66466996096,8.70138573846
 11/07  04:00:00,777.588225212,96.3525857472,345.24508997,0.0,46.0930336215,113.312780494,461.049903958,438.003304045,5.66466996096,17.381929952
 11/07  05:00:00,863.150242272,96.3525857472,343.02509928,0.0,100.150657288,148.969399434,435.510114582,421.144932096,5.66466996096,8.70051252462
 11/07  06:00:00,863.1618574,96.5309647912,342.241493951,0.0,100.150657288,149.894399434,707.144715981,684.281963187,14.1616749024,8.70107789117
 11/07  07:00:00,1110.08203839,97.5758510872,384.322021383,0.0,176.471037341,302.612436532,516.088555098,470.383745065,28.3233498048,17.3814602282
 11/07  08:00:00,1252.59310052,98.9725073312,419.715879044,0.0,243.2593065,310.10971186,467.403566452,407.392252031,42.4850247072,17.5262897145
 11/07  09:00:00,1308.28856117,99.7873336369,434.754238737,0.0,243.2593065,310.10971186,456.766315562,373.724684517,56.6466996096,26.3949314354
 11/07  10:00:00,1357.72399441,100.654796296,442.985857621,0.0,243.2593065,302.612436532,428.607404207,350.82072976,42.4850247072,35.3016497395
 11/07  11:00:00,1367.06912876,101.433754787,439.503241501,0.0,243.2593065,310.10971186,424.198280072,326.772878783,70.808374512,26.6170267766
 11/07  12:00:00,1351.62976975,102.130279434,426.040663382,0.0,243.2593065,310.10971186,426.006529233,310.765256059,70.808374512,44.432898662
 11/07  13:00:00,1300.43292875,103.003946522,425.303031915,0.0,243.2593065,310.10971186,396.96226675,299.608927469,70.808374512,26.5449647689
 11/07  14:00:00,1326.92550554,103.640667689,428.531136754,0.0,243.2593065,302.612436532,379.821398754,287.624397518,56.6466996096,35.5503016266
 11/07  15:00:00,1339.27273425,103.845445893,446.083026589,0.0,243.2593065,302.612436532,373.239098848,295.264284896,42.4850247072,35.489789245
 11/07  16:00:00,1352.57947451,104.610549152,459.449616157,0.0,243.2593065,302.612436532,384.22372121,292.153241732,56.6466996096,35.4237798689
 11/07  17:00:00,1353.73931946,104.988443404,457.888499493,0.0,243.2593065,310.10971186,412.369946751,300.949087044,84.9700494144,26.4508102928
 11/07  18:00:00,1362.93940342,105.265795295,456.687091899,0.0,243.2593065,310.10971186,416.156807278,313.712123691,84.9700494144,17.4746341733
 11/07  19:00:00,1085.39491296,96.3525857472,454.754334371,0.0,166.938926447,199.110933808,425.282831896,322.886170692,84.9700494144,17.42661179
 11/07  20:00:00,1075.35077477,96.3525857472,455.48379507,0.0,166.938926447,191.61365848,403.91267666,329.842865446,56.6466996096,17.4231116048
 11/07  21:00:00,942.360825902,96.3525857472,456.728598403,0.0,100.150657288,124.558693486,435.924675495,370.554778149,56.6466996096,8.72319773711
 11/07  22:00:00,905.027222427,96.3525857472,458.726482129,0.0,100.150657288,124.558693486,438.50390865,378.631987439,42.4850247072,17.3868965039
 11/07  23:00:00,838.63271546,96.3525857472,459.418287696,0.0,46.0930336215,124.558693486,435.064189156,398.038914853,28.3233498048,8.70192449833
 11/07  24:00:00,841.03145946,96.3525857472,460.232208183,0.0,46.0930336215,124.558693486,434.015120387,402.473025001,14.1616749024,17.3804204839
 11/08  01:00:00,828.959442895,96.3525857472,460.883525428,0.0,46.0930336215,113.312780494,420.854209852,406.488419903,5.66466996096,8.7011199881
 11/08  02:00:00,847.699934696,96.3525857472,454.389759047,0.0,46.0930336215,113.312780494,435.160668506,412.114494831,5.66466996096,17.3815037138
 11/08  03:00:00,864.206998063,96.3525857472,442.097754734,0.0,46.0930336215,113.312780494,428.39692603,414.031952905,5.66466996096,8.70030316393
 11/08  04:00:00,864.181649101,96.3525857472,436.435204716,0.0,46.0930336215,113.312780494,431.191557409,416.826026715,5.66466996096,8.70086073316
 11/08  05:00:00,952.335090777,96.3525857472,433.21617242,0.0,100.150657288,148.969399434,422.514530631,399.466276375,5.66466996096,17.3835842955
 11/08  06:00:00,954.617253953,96.77675735,432.83940939,0.0,100.150657288,149.894399434,619.003189463,596.141465358,14.1616749024,8.70004920241
 11/08  07:00:00,1174.0506995,98.8146299334,434.113106907,0.0,176.471037341,302.612436532,471.677890262,425.971426925,28.3233498048,17.3831135316
 11/08  08:00:00,1295.53398334,100.676625543,434.647874998,0.0,243.2593065,310.10971186,435.060783554,375.051258271,42.4850247072,17.5245005752
 11/08  09:00:00,1337.84339241,101.463759835,435.792388627,0.0,243.2593065,310.10971186,435.086393891,352.045235103,56.6466996096,26.3944591788
 11/08  10:00:00,1377.3533537,102.280737024,436.268458146,0.0,243.2593065,302.612436532,405.679630886,336.713794559,42.4850247072,26.4808116195
 11/08  11:00:00,1387.02674427,103.038206499,434.780823343,0.0,243.2593065,310.10971186,424.574029396,318.268562554,70.808374512,35.4970923306
 11/08  12:00:00,1392.33579711,103.730905566,436.362682737,0.0,243.2593065,310.10971186,413.230174576,306.863603977,70.808374512,35.5581960875
 11/08  13:00:00,1353.96332884,104.138797063,438.187930171,0.0,243.2593065,310.10971186,409.603637336,303.409465559,70.808374512,35.3857972649
 11/08  14:00:00,1385.45649423,104.352182079,438.155214062,0.0,243.2593065,302.612436532,402.425967074,310.231541257,56.6466996096,35.547726207
 11/08  15:00:00,1340.61374521,104.829409304,441.272110021,0.0,243.2593065,302.612436532,395.612905794,317.640568826,42.4850247072,35.4873122613
 11/08  16:00:00,1328.04257602,105.200451319,448.608948967,0.0,243.2593065,302.612436532,412.176978655,320.108556341,56.6466996096,35.4217227045
 11/08  17:00:00,1342.42818019,105.535974509,452.107085248,0.0,243.2593065,310.10971186,433.704125848,322.279801119,84.9700494144,26.4542753152
 11/08  18:00:00,1353.1281909,105.817841969,451.673985078,0.0,243.2593065,310.10971186,427.999771007,325.549126863,84.9700494144,17.4805947299
 11/08  19:00:00,1078.51353353,96.3525857472,448.867259141,0.0,166.938926447,199.110933808,436.534461689,334.138999498,84.9700494144,17.4254127766
 11/08  20:00:00,1070.08750756,96.3525857472,439.886992494,0.0,166.938926447,191.61365848,404.913191748,339.545131089,56.6466996096,8.72136104905
 11/08  21:00:00,936.348575912,96.3525857472,431.61676189,0.0,100.150657288,124.558693486,454.831620098,380.758845002,56.6466996096,17.4260754867
 11/08  22:00:00,883.88293292,96.3525857472,414.312589644,0.0,100.150657288,124.558693486,449.945321677,390.074749537,42.4850247072,17.3855474332
 11/08  23:00:00,810.511384743,96.3525857472,405.970988556,0.0,46.0930336215,124.558693486,445.697185865,408.67261821,28.3233498048,8.70121785091
 11/08  24:00:00,828.737383963,96.3525857472,417.172499741,0.0,46.0930336215,124.558693486,446.07339501,414.530071106,14.1616749024,17.3816490019
 11/09  01:00:00,805.038828746,96.3525857472,401.774841674,0.0,46.0930336215,113.312780494,436.520911693,422.155783437,5.66466996096,8.70045829444
 11/09  02:00:00,789.488155128,96.3525857472,385.596158599,0.0,46.0930336215,113.312780494,443.251383064,428.885669554,5.66466996096,8.70104354964
 11/09  03:00:00,782.242735298,96.3525857472,372.950640583,0.0,46.0930336215,113.312780494,456.902628459,433.85410286,5.66466996096,17.3838556379
 11/09  04:00:00,770.088765535,96.3525857472,363.728170399,0.0,46.0930336215,113.312780494,452.595786252,438.230870941,5.66466996096,8.70024534942
 11/09  05:00:00,853.07625126,96.3525857472,362.400081656,0.0,100.150657288,148.969399434,444.960883633,421.912650259,5.66466996096,17.3835634133
 11/09  06:00:00,861.084789185,96.8588603335,362.673560711,0.0,100.150657288,149.894399434,659.428756388,636.565116899,14.1616749024,8.70196458639
 11/09  07:00:00,1093.01221946,99.0922123875,373.550674454,0.0,176.471037341,302.612436532,499.268460175,453.563148138,28.3233498048,17.3819622324
 11/09  08:00:00,1233.16570127,101.19576836,393.038121659,0.0,243.2593065,310.10971186,451.465076731,391.452380541,42.4850247072,17.5276714835
 11/09  09:00:00,1305.06906371,102.129420936,417.789063814,0.0,243.2593065,310.10971186,439.753940726,356.714149434,56.6466996096,26.3930916828
 11/09  10:00:00,1349.67445822,102.891235746,424.866574516,0.0,243.2593065,302.612436532,410.876742492,341.905989752,42.4850247072,26.4857280332
 11/09  11:00:00,1367.79526621,103.530204322,428.804192136,0.0,243.2593065,310.10971186,431.596765377,325.292984035,70.808374512,35.4954068294
 11/09  12:00:00,1381.22015837,104.122314811,430.776464211,0.0,243.2593065,310.10971186,420.283890712,313.918420401,70.808374512,35.5570957982
 11/09  13:00:00,1344.79289052,104.850736035,431.819975617,0.0,243.2593065,310.10971186,411.790344955,305.596911134,70.808374512,35.385059309
 11/09  14:00:00,1383.46667672,105.53533385,431.596102216,0.0,243.2593065,302.612436532,382.612310452,290.418601447,56.6466996096,35.5470093953
 11/09  15:00:00,1385.98939219,106.289473784,430.460058665,0.0,243.2593065,302.612436532,353.402815296,275.431131713,42.4850247072,35.4866588754
 11/09  16:00:00,1386.14098859,106.8804339,429.98369586,0.0,243.2593065,302.612436532,363.8248428,271.756841319,56.6466996096,35.4213018706
 11/09  17:00:00,1385.47299647,106.932153422,419.937012823,0.0,243.2593065,310.10971186,402.572631159,291.14891694,84.9700494144,26.4536648048
 11/09  18:00:00,1391.12719726,107.038040322,414.084612544,0.0,243.2593065,310.10971186,415.064346309,312.61421186,84.9700494144,17.4800850351
 11/09  19:00:00,1114.89833542,96.3525857472,408.622941291,0.0,166.938926447,199.110933808,430.997308203,328.602299961,84.9700494144,17.4249588277
 11/09  20:00:00,1059.79208082,96.3525857472,358.73166282,0.0,166.938926447,191.61365848,404.663318346,339.295456671,56.6466996096,8.72116206587
 11/09  21:00:00,882.738078754,96.3525857472,316.205138403,0.0,100.150657288,124.558693486,457.864418486,383.792105808,56.6466996096,17.4256130692
