Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,867.469995997,96.3525857472,419.68413354,0.0,34.9616554283,113.312780494,552.210962307,537.840873606,5.66466996096,8.70541873986
 01/01  02:00:00,881.173981648,96.3525857472,410.44683748,0.0,34.9616554283,113.312780494,565.785217032,542.729180873,5.66466996096,17.3913661983
 01/01  03:00:00,873.082301707,96.3525857472,404.733118745,0.0,34.9616554283,113.312780494,561.425813173,547.055376779,5.66466996096,8.70576643303
 01/01  04:00:00,867.093244955,96.3525857472,401.936686649,0.0,34.9616554283,113.312780494,574.356977123,551.300532352,5.66466996096,17.3917748099
 01/01  05:00:00,869.797621064,96.3525857472,400.291949369,0.0,44.4937663224,113.312780494,559.784783408,545.414178078,5.66466996096,8.70593536918
 01/01  06:00:00,873.389695808,96.3525857472,398.699163066,0.0,44.4937663224,113.312780494,578.576084405,547.022325728,14.1616749024,17.3920837743
 01/01  07:00:00,951.90737708,96.3525857472,397.170721183,0.0,54.0258772165,176.889270242,515.978947646,478.949506191,28.3233498048,8.7060916507
 01/01  08:00:00,948.406485793,96.3525857472,397.071592555,0.0,54.0258772165,184.38654557,528.548587737,468.671177951,42.4850247072,17.3923850789
 01/01  09:00:00,1035.94165944,96.3525857472,400.820191331,0.0,65.1572554096,220.04316451,517.067797015,442.96078267,56.6466996096,17.460314736
 01/01  10:00:00,1029.42318415,96.3525857472,404.311144254,0.0,65.1572554096,212.545889182,491.112260803,431.091614768,42.4850247072,17.5356213273
 01/01  11:00:00,1020.06034443,96.3525857472,409.681169955,0.0,65.1572554096,220.04316451,525.796437044,428.591682351,70.808374512,26.3963801817
 01/01  12:00:00,1009.84890038,96.3525857472,417.616648406,0.0,65.1572554096,220.04316451,515.274434233,418.066369569,70.808374512,26.3996901517
 01/01  13:00:00,1006.16118662,96.3525857472,424.191107894,0.0,65.1572554096,220.04316451,503.583137018,406.375246398,70.808374512,26.3995161075
 01/01  14:00:00,996.751676575,96.3525857472,429.992933856,0.0,65.1572554096,212.545889182,474.547670303,391.502459232,56.6466996096,26.3985114617
 01/01  15:00:00,997.16417499,96.3525857472,433.236111395,0.0,65.1572554096,212.545889182,454.655111051,385.772572014,42.4850247072,26.3975143298
 01/01  16:00:00,993.695774454,96.3525857472,431.782521838,0.0,65.1572554096,212.545889182,462.350754979,379.307535143,56.6466996096,26.3965202265
 01/01  17:00:00,965.178057127,96.3525857472,425.656595101,0.0,65.1572554096,220.04316451,504.428390346,393.062974328,84.9700494144,26.3953666043
 01/01  18:00:00,929.932919463,96.3525857472,425.417831175,0.0,54.0258772165,184.38654557,529.74370836,427.24040412,84.9700494144,17.5332548257
 01/01  19:00:00,900.826664325,96.3525857472,424.18554403,0.0,44.4937663224,163.454314868,569.288714543,466.92731453,84.9700494144,17.3913505987
 01/01  20:00:00,893.316612608,96.3525857472,423.74356371,0.0,44.4937663224,155.95703954,538.495280852,473.141465605,56.6466996096,8.70711563804
 01/01  21:00:00,861.096942014,96.3525857472,422.611520241,0.0,44.4937663224,124.558693486,584.514959613,510.476574936,56.6466996096,17.3916850679
 01/01  22:00:00,849.264157573,96.3525857472,421.936515645,0.0,44.4937663224,124.558693486,567.372042014,516.179737915,42.4850247072,8.70727939145
 01/01  23:00:00,847.085914242,96.3525857472,423.695282652,0.0,34.9616554283,124.558693486,576.747528879,531.032197456,28.3233498048,17.3919816184
 01/01  24:00:00,854.797097826,96.3525857472,423.643251115,0.0,34.9616554283,124.558693486,556.47260714,533.606127721,14.1616749024,8.7048045174
 01/02  01:00:00,853.395391078,96.3525857472,423.543779342,0.0,46.0930336215,113.312780494,555.988983495,532.931958317,5.66466996096,17.3923552171
 01/02  02:00:00,842.90213575,96.3525857472,424.018653666,0.0,46.0930336215,113.312780494,552.986190068,538.616519924,5.66466996096,8.70500018297
 01/02  03:00:00,821.320707401,96.3525857472,414.30543032,0.0,46.0930336215,113.312780494,568.172735543,545.115326071,5.66466996096,17.3927395109
 01/02  04:00:00,809.278506846,96.3525857472,405.537565271,0.0,46.0930336215,113.312780494,563.710587096,549.340759538,5.66466996096,8.70515759669
 01/02  05:00:00,889.16713758,96.3525857472,404.333992172,0.0,100.150657288,148.969399434,535.252784885,512.195583678,5.66466996096,17.3925312453
 01/02  06:00:00,880.305022895,96.3525857472,403.962894415,0.0,100.150657288,149.894399434,1056.16572652,1033.29874105,14.1616749024,8.70531056872
 01/02  07:00:00,1103.60016445,96.3525857472,404.017835161,0.0,176.471037341,302.612436532,703.205001057,657.488228935,28.3233498048,17.3934223173
 01/02  08:00:00,1206.39248036,96.3525857472,404.120659215,0.0,243.2593065,310.10971186,640.110173625,580.0801138,42.4850247072,17.5450351174
 01/02  09:00:00,1241.37917362,96.3525857472,404.187680117,0.0,243.2593065,310.10971186,629.194843482,546.11898222,56.6466996096,26.4291616523
 01/02  10:00:00,1273.90316481,96.3525857472,405.111804174,0.0,243.2593065,302.612436532,603.509709502,525.661760844,42.4850247072,35.3629239509
 01/02  11:00:00,1294.03985662,96.3525857472,417.688350621,0.0,243.2593065,310.10971186,603.877701173,497.52168049,70.808374512,35.5476461705
 01/02  12:00:00,1323.38821263,96.3525857472,445.144481157,0.0,243.2593065,310.10971186,577.798952512,471.372155502,70.808374512,35.618422498
 01/02  13:00:00,1289.7501794,96.3654987269,452.51995455,0.0,243.2593065,310.10971186,550.603492597,444.352376329,70.808374512,35.4427417554
 01/02  14:00:00,1326.8768205,96.469623773,455.579411199,0.0,243.2593065,302.612436532,509.663323519,417.39689708,56.6466996096,35.6197268289
 01/02  15:00:00,1329.49243974,96.5814177794,457.702689655,0.0,243.2593065,302.612436532,479.400512018,397.852861877,42.4850247072,39.0626254332
 01/02  16:00:00,1321.92169843,96.6825763663,451.375633398,0.0,243.2593065,302.612436532,493.375762294,404.728388613,56.6466996096,32.0006740712
 01/02  17:00:00,1307.39947295,96.7711097342,427.364813761,0.0,243.2593065,310.10971186,529.657101163,409.376288128,84.9700494144,35.3107636209
 01/02  18:00:00,1331.94278832,96.8561281664,440.332979958,0.0,243.2593065,310.10971186,510.210774457,407.745693789,84.9700494144,17.4950312537
 01/02  19:00:00,1068.27129495,96.3525857472,434.341571356,0.0,166.938926447,199.110933808,477.369624965,374.961162709,84.9700494144,17.4384128418
 01/02  20:00:00,1066.61920268,96.3525857472,427.443415552,0.0,166.938926447,191.61365848,453.317511307,379.234878748,56.6466996096,17.4359329497
 01/02  21:00:00,934.840594982,96.3525857472,426.542825578,0.0,100.150657288,124.558693486,484.366478727,418.9895102,56.6466996096,8.73026891673
 01/02  22:00:00,895.843940669,96.3525857472,426.323379445,0.0,100.150657288,124.558693486,482.636815701,422.754641166,42.4850247072,17.3971498284
 01/02  23:00:00,826.419220186,96.3525857472,414.886421774,0.0,46.0930336215,124.558693486,478.721366323,441.691844087,28.3233498048,8.70617243094
 01/02  24:00:00,833.777536167,96.3525857472,406.864596541,0.0,46.0930336215,124.558693486,478.091886549,446.537648452,14.1616749024,17.3925631945
 01/03  01:00:00,815.001110022,96.3525857472,383.191911453,0.0,46.0930336215,113.312780494,467.773783571,453.402729491,5.66466996096,8.70638411948
 01/03  02:00:00,792.405365595,96.3525857472,354.845171748,0.0,46.0930336215,113.312780494,482.721684449,459.664012838,5.66466996096,17.3930016505
 01/03  03:00:00,776.647021451,96.3525857472,344.261886444,0.0,46.0930336215,113.312780494,487.238838418,464.182668256,5.66466996096,17.3915002014
 01/03  04:00:00,761.013523796,96.3525857472,331.622623038,0.0,46.0930336215,113.312780494,485.154681447,470.784214601,5.66466996096,8.70579688465
 01/03  05:00:00,831.561202313,96.3525857472,312.167203109,0.0,100.150657288,148.969399434,476.069511387,453.01298498,5.66466996096,17.3918564468
 01/03  06:00:00,822.776580803,96.3525857472,303.400890059,0.0,100.150657288,149.894399434,815.970410501,793.10275039,14.1616749024,8.70598520889
 01/03  07:00:00,1043.93001998,96.5433345245,292.852418986,0.0,176.471037341,302.612436532,581.583238965,535.8676795,28.3233498048,17.3922096607
 01/03  08:00:00,1167.86791456,96.8504782702,297.439411103,0.0,243.2593065,310.10971186,536.068022551,476.037192814,42.4850247072,17.5458050298
 01/03  09:00:00,1236.39230686,96.9840691656,315.23524168,0.0,243.2593065,310.10971186,519.416642389,436.340905618,56.6466996096,26.429037162
 01/03  10:00:00,1293.28905251,97.0868370021,333.780241109,0.0,243.2593065,302.612436532,493.756576848,415.91609118,42.4850247072,35.3554609613
 01/03  11:00:00,1340.9423975,97.175417752,364.001121202,0.0,243.2593065,310.10971186,501.668782988,395.320054852,70.808374512,35.5403536245
 01/03  12:00:00,1367.05394175,97.3383792821,387.555338118,0.0,243.2593065,310.10971186,483.051725843,376.633360809,70.808374512,35.6099905226
 01/03  13:00:00,1332.29920986,97.8711456435,392.975076605,0.0,243.2593065,310.10971186,471.744085785,365.499894534,70.808374512,35.4358167391
 01/03  14:00:00,1369.54323328,98.4436924351,394.2348992,0.0,243.2593065,302.612436532,443.770559247,351.511986236,56.6466996096,35.611873401
 01/03  15:00:00,1363.63540021,98.9430135846,391.022620158,0.0,243.2593065,302.612436532,411.416422448,333.377143557,42.4850247072,35.5542541834
 01/03  16:00:00,1340.47070713,99.2927548433,373.009099418,0.0,243.2593065,302.612436532,419.572393878,327.435635979,56.6466996096,35.4900582901
 01/03  17:00:00,1316.76634662,99.5009722813,342.196008454,0.0,243.2593065,310.10971186,455.997005205,344.541357102,84.9700494144,26.4855986888
 01/03  18:00:00,1293.62812859,99.7880020472,315.767888033,0.0,243.2593065,310.10971186,476.266702146,365.066501866,84.9700494144,26.2301508654
 01/03  19:00:00,1002.87914704,96.3525857472,296.497565262,0.0,166.938926447,199.110933808,466.661651736,364.25643024,84.9700494144,17.4351720815
 01/03  20:00:00,986.557422261,96.3525857472,288.375571922,0.0,166.938926447,191.61365848,435.543034932,370.166538835,56.6466996096,8.72979648688
 01/03  21:00:00,827.792723362,96.3525857472,266.321528469,0.0,100.150657288,124.558693486,492.238401106,418.15380936,56.6466996096,17.4378921366
 01/03  22:00:00,765.808861695,96.3525857472,242.149942861,0.0,100.150657288,124.558693486,512.310356456,452.428721671,42.4850247072,17.3966100771
 01/03  23:00:00,683.223967015,96.3525857472,223.842973733,0.0,46.0930336215,124.558693486,539.00022177,501.969645453,28.3233498048,8.70722651193
 01/03  24:00:00,678.799948093,96.3525857472,215.95541538,0.0,46.0930336215,124.558693486,550.679821517,519.126222982,14.1616749024,17.3919236324
 01/04  01:00:00,666.575305515,96.3525857472,214.787330505,0.0,46.0930336215,113.312780494,538.135706735,523.763580475,5.66466996096,8.70745629937
 01/04  02:00:00,655.243906943,96.3525857472,204.014372212,0.0,46.0930336215,113.312780494,583.271476018,560.214431676,5.66466996096,17.3923743807
 01/04  03:00:00,647.385244806,96.3525857472,196.718539252,0.0,46.0930336215,113.312780494,596.015282239,581.645598385,5.66466996096,8.705013893
 01/04  04:00:00,624.471249959,96.3525857472,175.475051143,0.0,46.0930336215,113.312780494,708.109921551,685.052496001,5.66466996096,17.3927555883
 01/04  05:00:00,707.992799234,96.3525857472,171.413510417,0.0,100.150657288,148.969399434,654.224815103,639.854950998,5.66466996096,8.70519414342
 01/04  06:00:00,704.337950175,96.4988654069,166.60611112,0.0,100.150657288,149.894399434,829.199076417,797.642843659,14.1616749024,17.3945578554
 01/04  07:00:00,934.581893079,97.2201495974,169.432756051,0.0,176.471037341,302.612436532,613.999745733,576.971039116,28.3233498048,8.70535681184
 01/04  08:00:00,1056.5007511,97.9356306799,185.044146027,0.0,243.2593065,310.10971186,559.230836064,490.440343076,42.4850247072,26.3054682802
 01/04  09:00:00,1145.95947886,98.6714755259,231.698362826,0.0,243.2593065,310.10971186,493.607579244,410.531106532,56.6466996096,26.4297731022
 01/04  10:00:00,1235.79581541,99.3838684211,281.620031344,0.0,243.2593065,302.612436532,460.017550689,391.013766551,42.4850247072,26.5187594316
 01/04  11:00:00,1282.68812406,100.01569813,311.173042491,0.0,243.2593065,310.10971186,490.440795466,375.194265301,70.808374512,44.4381556528
 01/04  12:00:00,1327.04023742,100.621309385,343.633214837,0.0,243.2593065,310.10971186,465.491631135,359.080563,70.808374512,35.6026936235
 01/04  13:00:00,1335.59102617,101.163646986,378.326722476,0.0,243.2593065,310.10971186,451.807278613,345.569133832,70.808374512,35.4297702686
 01/04  14:00:00,1383.40301188,101.685892852,385.563486007,0.0,243.2593065,302.612436532,422.399424814,330.147698453,56.6466996096,35.605026751
 01/04  15:00:00,1388.66410863,102.045045422,388.21776537,0.0,243.2593065,302.612436532,390.978132613,312.945552615,42.4850247072,35.5475552904
 01/04  16:00:00,1390.04842907,102.25151589,387.649422384,0.0,243.2593065,302.612436532,401.765159873,309.634369672,56.6466996096,35.4840905911
 01/04  17:00:00,1398.14197691,102.356135976,384.4174534,0.0,243.2593065,310.10971186,436.243247521,324.785730611,84.9700494144,26.4874674957
 01/04  18:00:00,1384.91658742,102.503640524,364.181356729,0.0,243.2593065,310.10971186,445.565278595,343.100423205,84.9700494144,17.4948059759
 01/04  19:00:00,1028.11940841,96.3525857472,295.005616386,0.0,166.938926447,199.110933808,460.480634241,358.0705134,84.9700494144,17.4400714265
 01/04  20:00:00,1002.06061861,96.3525857472,279.343664771,0.0,166.938926447,191.61365848,438.034733728,363.950776043,56.6466996096,17.4372580753
 01/04  21:00:00,856.379705321,96.3525857472,269.248953606,0.0,100.150657288,124.558693486,482.833038335,408.746463082,56.6466996096,17.4398756428
 01/04  22:00:00,774.731758462,96.3525857472,234.00682061,0.0,100.150657288,124.558693486,509.249648574,458.055691708,42.4850247072,8.7089321587
 01/04  23:00:00,683.906399891,96.3525857472,208.779050505,0.0,46.0930336215,124.558693486,574.065849993,528.349326094,28.3233498048,17.3931740943
 01/04  24:00:00,684.998072249,96.3525857472,210.050793318,0.0,46.0930336215,124.558693486,551.289724494,519.736363246,14.1616749024,17.3916863457
 01/05  01:00:00,686.652286432,96.3525857472,225.097782588,0.0,46.0930336215,113.312780494,503.352061758,488.981450408,5.66466996096,8.7059413896
 01/05  02:00:00,699.851032574,96.3525857472,232.432853712,0.0,46.0930336215,113.312780494,510.707347069,487.650513586,5.66466996096,17.3921635221
 01/05  03:00:00,725.602460952,96.3525857472,253.69192855,0.0,46.0930336215,113.312780494,483.457636086,469.086815953,5.66466996096,8.70615017221
 01/05  04:00:00,744.053522114,96.3525857472,268.552766819,0.0,46.0930336215,113.312780494,491.326848283,468.269622082,5.66466996096,17.3925562397
 01/05  05:00:00,834.883857238,96.3525857472,270.194522421,0.0,100.150657288,148.969399434,469.150960711,454.779933659,5.66466996096,8.70635709072
 01/05  06:00:00,824.552420165,96.7816963742,260.699719948,0.0,100.150657288,149.894399434,767.456314603,735.901675507,14.1616749024,17.3929641932
 01/05  07:00:00,1029.54145293,97.8166540981,243.067470623,0.0,176.471037341,302.612436532,558.451152198,521.421244045,28.3233498048,8.70655834811
 01/05  08:00:00,1142.59719145,99.6315172716,245.78838304,0.0,243.2593065,310.10971186,530.156504216,461.365650492,42.4850247072,26.3058290165
 01/05  09:00:00,1216.98272443,100.547405741,272.77470381,0.0,243.2593065,310.10971186,504.719975514,421.642183145,56.6466996096,26.4310927598
 01/05  10:00:00,1328.30946661,101.189182231,339.794085939,0.0,243.2593065,302.612436532,469.172645474,400.163736512,42.4850247072,26.5238842543
 01/05  11:00:00,1389.61920131,101.76386582,382.70051754,0.0,243.2593065,310.10971186,485.656994759,379.290342909,70.808374512,35.558277338
 01/05  12:00:00,1395.18600905,102.351408067,384.632330042,0.0,243.2593065,310.10971186,475.566699366,360.239187556,70.808374512,44.519137299
 01/05  13:00:00,1359.53023717,102.859424691,387.853828894,0.0,243.2593065,310.10971186,443.373792326,345.984818316,70.808374512,26.5805994983
 01/05  14:00:00,1397.57771598,103.254115762,390.588312865,0.0,243.2593065,302.612436532,433.194267066,332.030488388,56.6466996096,44.517079068
 01/05  15:00:00,1396.93212335,103.521787349,392.203524497,0.0,243.2593065,302.612436532,392.931390141,314.904791953,42.4850247072,35.541573481
 01/05  16:00:00,1396.90648359,103.68444096,393.579532134,0.0,243.2593065,302.612436532,397.61353659,305.488126326,56.6466996096,35.4787106538
 01/05  17:00:00,1404.20144077,103.660648931,392.399555409,0.0,243.2593065,310.10971186,431.74852727,320.289391588,84.9700494144,26.4890862674
 01/05  18:00:00,1380.15680073,103.681248278,361.378144733,0.0,243.2593065,310.10971186,447.123523453,344.661279713,84.9700494144,17.4921943258
 01/05  19:00:00,1046.60167618,96.3525857472,309.991545887,0.0,166.938926447,199.110933808,460.591557027,358.182745369,84.9700494144,17.4387622435
 01/05  20:00:00,1019.19306301,96.3525857472,293.428735254,0.0,166.938926447,191.61365848,438.98661582,364.902073709,56.6466996096,17.4378425016
 01/05  21:00:00,862.079777521,96.3525857472,270.731391776,0.0,100.150657288,124.558693486,485.118503838,411.033282353,56.6466996096,17.438521875
 01/05  22:00:00,783.81611977,96.3525857472,235.375290176,0.0,100.150657288,124.558693486,511.39459294,460.201880791,42.4850247072,8.70768744187
 01/05  23:00:00,709.550615846,96.3525857472,229.959325228,0.0,46.0930336215,124.558693486,528.662872687,482.946389839,28.3233498048,17.3931330432
 01/05  24:00:00,703.035013189,96.3525857472,224.362031374,0.0,46.0930336215,124.558693486,521.60491034,498.737872535,14.1616749024,8.70536290237
 01/06  01:00:00,693.253911268,96.3525857472,227.092060037,0.0,46.0930336215,113.312780494,519.236463464,496.178272306,5.66466996096,17.3935211974
 01/06  02:00:00,711.173045358,96.3525857472,243.342308629,0.0,46.0930336215,113.312780494,491.333531669,476.963277924,5.66466996096,8.70558378389
 01/06  03:00:00,705.048838374,96.3525857472,240.199721408,0.0,46.0930336215,113.312780494,516.312782086,493.254049252,5.66466996096,17.394062874
 01/06  04:00:00,693.355954537,96.3525857472,233.5014028,0.0,46.0930336215,113.312780494,526.766394903,512.395937077,5.66466996096,8.70578786544
 01/06  05:00:00,781.549370941,96.3525857472,232.778312477,0.0,100.150657288,148.969399434,517.261401018,494.204746816,5.66466996096,17.3919842405
 01/06  06:00:00,782.770537572,96.8754481138,232.697953946,0.0,100.150657288,149.894399434,755.700397227,732.832728215,14.1616749024,8.70599411044
 01/06  07:00:00,1006.6563181,98.3407522537,232.165669413,0.0,176.471037341,302.612436532,562.329538802,516.613802916,28.3233498048,17.3923860817
 01/06  08:00:00,1127.35481177,100.346890912,242.336559458,0.0,243.2593065,310.10971186,518.160885558,458.133513988,42.4850247072,17.5423468627
 01/06  09:00:00,1211.98658673,101.156681998,280.205251604,0.0,243.2593065,310.10971186,515.544745363,423.664565412,56.6466996096,35.2334803416
 01/06  10:00:00,1302.82774724,101.762826872,324.432649722,0.0,243.2593065,302.612436532,471.975939383,402.961701213,42.4850247072,26.5292134631
 01/06  11:00:00,1360.11605596,102.06488107,363.583791064,0.0,243.2593065,310.10971186,495.728989033,389.367442676,70.808374512,35.5531718448
 01/06  12:00:00,1388.7064291,102.366885427,384.962027628,0.0,243.2593065,310.10971186,484.189616118,377.75643543,70.808374512,35.6248061761
 01/06  13:00:00,1352.58410918,102.680403529,388.773789544,0.0,243.2593065,310.10971186,473.929463064,367.672740164,70.808374512,35.4483483883
 01/06  14:00:00,1389.02763071,102.871480062,390.400454356,0.0,243.2593065,302.612436532,470.480176487,369.304585494,56.6466996096,44.5288913832
 01/06  15:00:00,1390.3130979,103.127993402,390.721224456,0.0,243.2593065,302.612436532,444.098873502,366.076652092,42.4850247072,35.5371967026
 01/06  16:00:00,1390.69251687,103.34469507,390.825566029,0.0,243.2593065,302.612436532,455.471290271,363.350473499,56.6466996096,35.4741171624
 01/06  17:00:00,1398.81763066,103.565181885,390.092416348,0.0,243.2593065,310.10971186,474.583562982,363.122801867,84.9700494144,26.4907117005
 01/06  18:00:00,1400.1825787,103.786528113,387.782421315,0.0,243.2593065,310.10971186,467.857538525,365.393403212,84.9700494144,17.4940858989
 01/06  19:00:00,1121.99822507,96.3525857472,384.586411842,0.0,166.938926447,199.110933808,469.493649308,367.082581401,84.9700494144,17.4410184918
 01/06  20:00:00,1102.10555628,96.3525857472,372.70833257,0.0,166.938926447,191.61365848,444.465562989,370.380245321,56.6466996096,17.4386180591
 01/06  21:00:00,939.779488025,96.3525857472,353.20808758,0.0,100.150657288,124.558693486,484.464927567,410.381919454,56.6466996096,17.436308504
 01/06  22:00:00,888.516500669,96.3525857472,345.22337166,0.0,100.150657288,124.558693486,468.625960023,417.431764155,42.4850247072,8.70917116042
 01/06  23:00:00,820.587717791,96.3525857472,344.26268947,0.0,46.0930336215,124.558693486,482.585180117,436.868479113,28.3233498048,17.3933511998
 01/06  24:00:00,835.060332681,96.3525857472,354.899321056,0.0,46.0930336215,124.558693486,465.10290069,442.234388292,14.1616749024,8.70683749567
 01/07  01:00:00,824.755612002,96.3525857472,361.676358488,0.0,46.0930336215,113.312780494,468.802696115,445.745251485,5.66466996096,17.3927746692
 01/07  02:00:00,816.919611394,96.3525857472,361.985417815,0.0,46.0930336215,113.312780494,464.886785429,450.515010569,5.66466996096,8.7071048996
 01/07  03:00:00,798.15143369,96.3525857472,350.911788759,0.0,46.0930336215,113.312780494,480.969168311,457.912726587,5.66466996096,17.3917717632
 01/07  04:00:00,801.4508695,96.3525857472,344.086634014,0.0,46.0930336215,113.312780494,479.572135813,465.200130285,5.66466996096,8.70733556631
 01/07  05:00:00,798.915898644,96.3525857472,332.597756952,0.0,55.6251445156,113.312780494,484.786107705,461.729245245,5.66466996096,17.3921924996
 01/07  06:00:00,779.945103828,96.3525857472,315.182923045,0.0,55.6251445156,113.312780494,491.187772809,468.318535106,14.1616749024,8.70756280099
 01/07  07:00:00,847.826881788,96.3525857472,317.088929287,0.0,65.1572554096,176.889270242,453.29786142,407.581901635,28.3233498048,17.3926099801
 01/07  08:00:00,935.819380367,96.6863109058,311.145122145,0.0,109.682768182,220.96816451,710.246713545,659.0565336,42.4850247072,8.70515523704
 01/07  09:00:00,982.566393563,96.6808984136,346.790186266,0.0,109.682768182,220.96816451,597.644348131,523.522340754,56.6466996096,17.4753077675
 01/07  10:00:00,1145.92867691,97.1841255749,394.80827344,0.0,131.945524568,266.955817592,540.8421603,472.039865033,42.4850247072,26.3172705604
 01/07  11:00:00,1168.98500755,97.4288031288,407.033943448,0.0,131.945524568,274.45309292,545.5281453,448.29120806,70.808374512,26.4285627279
 01/07  12:00:00,1183.44295116,97.6680092008,417.358962223,0.0,131.945524568,274.45309292,523.170329327,425.937194855,70.808374512,26.4247599607
 01/07  13:00:00,1169.1867167,97.8374508163,425.732672567,0.0,131.945524568,274.45309292,503.189393519,405.960375387,70.808374512,26.4206436195
 01/07  14:00:00,1164.3039177,98.0581066085,419.258287155,0.0,131.945524568,266.955817592,467.45860402,384.390159029,56.6466996096,26.4217453823
 01/07  15:00:00,1159.6031716,98.1676904614,409.905336767,0.0,131.945524568,266.955817592,429.600018159,360.69310124,42.4850247072,26.4218922119
 01/07  16:00:00,1098.24133477,96.3525857472,422.935869277,0.0,109.682768182,212.545889182,357.828477211,274.762140085,56.6466996096,26.4196375165
 01/07  17:00:00,1107.88542528,96.3525857472,432.97138563,0.0,109.682768182,220.04316451,405.963441887,294.575056187,84.9700494144,26.4183362856
 01/07  18:00:00,1062.00537389,96.3525857472,427.856816488,0.0,109.682768182,220.04316451,425.167887453,313.898134856,84.9700494144,26.2997031827
 01/07  19:00:00,1024.95698084,96.3525857472,416.982272242,0.0,100.150657288,199.110933808,447.578064804,353.90224866,84.9700494144,8.70576672954
 01/07  20:00:00,1016.88681415,96.3525857472,409.718807094,0.0,100.150657288,191.61365848,434.570429528,360.530784968,56.6466996096,17.3929449503
 01/07  21:00:00,898.105374787,96.3525857472,403.091193751,0.0,55.6251445156,124.558693486,470.399355413,405.046709263,56.6466996096,8.70594653963
 01/07  22:00:00,876.593872845,96.3525857472,382.401837362,0.0,55.6251445156,124.558693486,474.982724636,415.105534602,42.4850247072,17.3921653266
 01/07  23:00:00,837.72073039,96.3525857472,354.828782399,0.0,46.0930336215,124.558693486,470.791024418,433.761521671,28.3233498048,8.70615294205
 01/07  24:00:00,809.6632345,96.3525857472,334.536339844,0.0,46.0930336215,124.558693486,471.568258924,440.01399886,14.1616749024,17.3925851617
 01/08  01:00:00,774.04303801,96.3525857472,326.192124576,0.0,34.9616554283,113.312780494,461.837438756,447.466360853,5.66466996096,8.70640794234
 01/08  02:00:00,761.515016404,96.3525857472,314.776528954,0.0,34.9616554283,113.312780494,478.78665227,455.728874742,5.66466996096,17.3931075667
 01/08  03:00:00,733.080612601,96.3525857472,286.708571345,0.0,34.9616554283,113.312780494,482.684660281,468.313343097,5.66466996096,8.70664722353
 01/08  04:00:00,714.846054033,96.3525857472,271.651366085,0.0,34.9616554283,113.312780494,507.516658114,484.45843131,5.66466996096,17.3935568429
 01/08  05:00:00,706.877895177,96.3525857472,259.395250635,0.0,44.4937663224,113.312780494,518.01740823,494.960630589,5.66466996096,17.3921076806
 01/08  06:00:00,724.797181354,96.3525857472,272.806899559,0.0,44.4937663224,113.312780494,508.224567455,485.356765168,14.1616749024,8.70612738521
 01/08  07:00:00,790.080819067,96.3525857472,265.643726381,0.0,54.0258772165,176.889270242,480.102055992,434.386157935,28.3233498048,17.3925482525
 01/08  08:00:00,786.143857549,96.3525857472,272.474300268,0.0,54.0258772165,184.38654557,461.864359082,410.672977655,42.4850247072,8.70635671964
 01/08  09:00:00,933.407813042,96.3525857472,337.338984314,0.0,65.1572554096,220.04316451,437.670256615,363.562490661,56.6466996096,17.4610663444
 01/08  10:00:00,981.144226909,96.3525857472,390.856836599,0.0,65.1572554096,212.545889182,415.100094284,346.324421282,42.4850247072,26.2906482941
 01/08  11:00:00,1004.29466906,96.3525857472,402.805093511,0.0,65.1572554096,220.04316451,435.325687112,338.118719578,70.808374512,26.3985930224
 01/08  12:00:00,1018.40272141,96.3525857472,411.671443879,0.0,65.1572554096,220.04316451,416.167512709,327.752472755,70.808374512,17.6066654429
 01/08  13:00:00,1025.70588554,96.3525857472,419.456531573,0.0,65.1572554096,220.04316451,415.570153468,318.3594209,70.808374512,26.4023580564
 01/08  14:00:00,1028.02733469,96.3525857472,424.708826392,0.0,65.1572554096,212.545889182,390.001612199,306.953364645,56.6466996096,26.4015479447
 01/08  15:00:00,1030.43530425,96.3525857472,427.765836454,0.0,65.1572554096,212.545889182,363.031451033,294.145676837,42.4850247072,26.4007494883
 01/08  16:00:00,1030.12564909,96.3525857472,429.679661256,0.0,65.1572554096,212.545889182,370.954946598,287.908293084,56.6466996096,26.3999539052
 01/08  17:00:00,1007.28718927,96.3525857472,429.60706291,0.0,65.1572554096,220.04316451,413.001469294,301.632259297,84.9700494144,26.3991605824
 01/08  18:00:00,945.480183935,96.3525857472,410.307614864,0.0,54.0258772165,184.38654557,448.771711512,337.510653453,84.9700494144,26.2910086448
 01/08  19:00:00,890.360079175,96.3525857472,384.894917598,0.0,44.4937663224,163.454314868,479.334694435,385.659363356,84.9700494144,8.70528166457
 01/08  20:00:00,873.459348799,96.3525857472,379.659530898,0.0,44.4937663224,155.95703954,471.117259199,397.077218444,56.6466996096,17.3933411461
 01/08  21:00:00,818.979654478,96.3525857472,359.431193628,0.0,44.4937663224,124.558693486,503.343125277,437.990943166,56.6466996096,8.70548250135
 01/08  22:00:00,797.070579884,96.3525857472,333.756089422,0.0,44.4937663224,124.558693486,509.957376809,450.078547061,42.4850247072,17.3938050411
